name,latitude,longitude,iata_code,country
Durango Int'l,24.13,-104.53, DGO,MX
Voloskoye,48.37,35.09, DNK,UA
Donetsk,48.07,37.74, DOK,UA
Santa Bernardina Int'l,-33.36,-56.5, DZO,UY
Edinburgh Int'l,55.95,-3.36, EDI,GB
Elko Reg.,40.83,-115.79, EKO,US
Ensenada,31.8,-116.6, ESE,MX
Vágar,62.06,-7.27, FAE,FO
Hector Int'l,46.92,-96.83, FAR,US
Fresno Yosemite Int'l,36.77,-119.72, FAT,US
Flagstaff Pulliam,35.14,-111.67, FLG,US
Mundo Maya Int'l,16.91,-89.88, FRS,GT
Sioux Falls Reg.,43.58,-96.73, FSD,US
Spokane Int'l,47.63,-117.54, GEG,US
Exuma Int'l,23.56,-75.87, GGT,BS
Gerald R. Ford Int'l,42.88,-85.53, GRR,US
Triad Int'l,36.11,-79.94, GSO,US
Great Falls Int'l,47.48,-111.36, GTF,US
Gaziantep Oğuzeli Int'l,36.95,37.47, GZT,TR
Hubli,15.36,75.09, HBX,IN
Hat Yai Int'l,6.94,100.39, HDY,TH
Hefei-Luogang,31.78,117.3, HFE,CN
Hurghada Int'l,27.18,33.81, HRG,EG
Kharkov Int'l,49.92,36.28, HRK,UA
Huntsville Int'l,34.65,-86.77, HSV,US
Ibadan,7.36,3.97, IBA,NG
Kansas City Int'l,37.65,-97.43, ICT,US
Wilmington Int'l,34.27,-77.91, ILM,US
Ilorin Int'l,8.44,4.49, ILR,NG
Falls Int'l,48.57,-93.4, INL,US
Inverness,57.54,-4.06, INV,GB
Imperial Cty.,32.83,-115.57, IPL,US
Jammu,32.68,74.84, IXJ,IN
Madurai,9.84,78.09, IXM,IN
Jodhpur,26.26,73.05, JDH,IN
Jabalpur,23.18,80.06, JLR,IN
Kilimanjaro Int'l,-3.42,37.07, JRO,TZ
Kaduna,10.69,7.33, KAD,NG
Kananga,-5.9,22.48, KGA,CD
Kumasi,6.71,-1.59, KMS,GH
Viña del Mar,-32.95,-71.48, KNA,CL
Kanpur,26.44,80.37, KNU,IN
Kona Int'l at Keahole,19.74,-156.04, KOA,US
Kirkwall,58.95,-2.9, KOI,GB
Kota,25.16,75.85, KTU,IN
Konya,37.98,32.58, KYA,TR
Blue Grass,38.04,-84.6, LEX,US
Lihue,21.98,-159.35, LIH,US
Clinton National,34.73,-92.22, LIT,US
Los Mochis,25.69,-109.08, LMM,MX
Venustiano Carranza Int'l,26.96,-101.46, LOV,MX
Laredo Int'l,27.54,-99.46, LRD,US
Sumburgh,59.88,-1.29, LSI,GB
Bassel Al-Assad Int'l,35.41,35.94, LTK,SY
London Luton,51.88,-0.38, LTN,GB
Sangster Int'l,18.5,-77.92, MBJ,JM
Mandalay Int'l,21.71,95.97, MDL,MM
Chicago Midway Int'l,41.79,-87.74, MDW,US
Eloy Alfaro Int'l,-0.95,-80.68, MEC,EC
Montgomery Reg.,32.3,-86.39, MGM,US
Manchester-Boston Reg.,42.93,-71.44, MHT,US
Maiduguri Int'l,11.85,13.09, MIU,NG
Mbuji Mayi,-6.12,23.57, MJM,CD
Minot Int'l,48.26,-101.29, MOT,US
Missoula Int'l,46.92,-114.08, MSO,US
Gen R.S. Taboada Int'l,32.63,-115.25, MXL,MX
Malpensa,45.63,8.71, MXP,IT
Norfolk Island,-29.04,167.94, NLK,NF
Nurnberg,49.49,11.08, NUE,DE
Odessa Int'l,46.44,30.68, ODS,UA
Gold Coast,-28.17,153.51, OOL,AU
Oran Es Senia,35.62,-0.61, ORN,DZ
Lok Nayak Jaiprakash,25.59,85.09, PAT,IN
Paysandu,-32.36,-58.07, PDU,UY
Paphos Int'l,34.71,32.48, PFO,CY
Sultan Mahmud Badaruddin II,-2.9,104.7, PLM,ID
Polokwane Int'l,-23.86,29.45, PTG,ZA
Punta Cana,18.56,-68.36, PUJ,DO
Queretaro Int'l,20.62,-100.19, QRO,MX
Rajkot,22.31,70.78, RAJ,IN
Richmond Int'l,37.51,-77.33, RIC,US
Shah Makhdum,24.44,88.61, RJH,BD
Greater Rochester Int'l,43.13,-77.67, ROC,US
Rockhampton,-23.38,150.48, ROK,AU
Rostov-on-Don,47.26,39.8, ROV,RU
Saratov,51.56,46.04, RTW,RU
Ramón Villeda Morales Int'l,15.46,-87.93, SAP,HN
Deadhorse,70.2,-148.46, SCC,US
Springfield Reg.,37.24,-93.38, SGF,US
Shreveport Reg.,32.45,-93.83, SHV,US
Simferopol Int'l,45.02,34.0, SIP,UA
Los Cabos Int'l,23.16,-109.72, SJD,MX
McNary Field,44.91,-123.01, SLE,US
Plan de Guadalupe,25.55,-100.93, SLW,MX
Santo Pekoa Int'l,-15.51,167.22, SON,VU
Srinagar,33.98,74.78, SXR,IN
Tapachula Int'l,14.79,-92.37, TAP,MX
Podgorica,42.37,19.25, TGD,ME
Tallahassee Reg.,30.4,-84.34, TLH,US
Turin Int'l,45.19,7.64, TRN,IT
Taiyuan Wusu Int'l,37.75,112.63, TYN,CN
Narsarsuaq,61.16,-45.42, UAK,GL
U-Tapao,12.69,101.0, UTP,TH
Victoria Falls,-18.1,25.85, VFA,ZW
Vijaywada,16.53,80.8, VGA,IN
Varanasi,25.45,82.85, VNS,IN
Juan Gualberto Gomez,23.04,-81.44, VRA,CU
Villahermosa,17.99,-92.82, VSA,MX
Brandon,49.9,-99.95, YBR,CA
CFB Edmonton,53.67,-113.48, YED,CA
Iqaluit,63.75,-68.54, YFB,CA
John C. Munro Hamilton Int'l,43.16,-79.93, YHM,CA
Fort McMurray,56.66,-111.22, YMM,CA
Yantai,37.41,121.37, YNT,CN
Peace River,56.23,-117.44, YPE,CA
Greater Moncton Int'l,46.12,-64.69, YQM,CA
Sydney/J.A. Douglas McCurdy,46.17,-60.05, YQY,CA
Resolute Bay,74.72,-94.97, YRB,CA
Fort Smith,60.02,-111.96, YSM,CA
Thompson,55.8,-97.86, YTH,CA
Timmins,48.57,-81.37, YTS,CA
Repulse Bay,66.53,-86.25, YUT,CA
Kuujjuaq,58.1,-68.43, YVP,CA
Wabush,52.93,-66.87, YWK,CA
Edmonton City Centre,53.57,-113.52, YXD,CA
Fort St. John N. Peace,56.25,-120.74, YXJ,CA
North Bay/Jack Garland,46.36,-79.42, YYB,CA
Zaria,11.14,7.69, ZAR,NG
Skopje,41.96,21.63, SKP,MK
Burnpur,23.63,86.97, NULL,IN
Hindon Air Force Station,28.71,77.35, NULL,IN
Sunchon,39.41,125.89, NULL,KP
Łódź Władysław Reymont,51.73,19.4, LCJ,PL
Alma Ata N.W.,43.36,76.88, BXJ,KZ
Jiamusi Dongjiao,46.84,130.46, JMU,CN
Mudanjiang Hailang,44.53,129.58, MDG,CN
Severomorsk-3 Murmansk N.E.,69.02,33.29, NULL,RU
Mosul Int'l,36.31,43.15, OSB,IQ
Rostov N.,47.28,39.64, NULL,RU
Rostov S.W.,47.12,39.8, NULL,RU
Oulu,64.93,25.37, OUL,FI
Bordeaux,44.83,-0.7, BOD,FR
Mandelieu,43.55,6.95, CEQ,FR
St Gatien,49.36,0.16, DOL,FR
Lille-Lesquin,50.57,3.11, LIL,FR
Toulouse-Blagnac,43.63,1.37, TLS,FR
Fukuoka,33.58,130.44, FUK,JP
Hiroshima-Nishi,34.37,132.42, HIW,JP
Nagoya,35.25,136.92, NKM,JP
Sendai,38.14,140.93, SDJ,JP
Kirkenes Hoybuktmoen,69.72,29.89, KKN,NO
Marechal Rondon Int'l,-15.65,-56.12, CGB,BR
Joinville-Lauro C. de Loyola,-26.22,-48.8, JOI,BR
Presidente Castro Pinto Int'l,-7.15,-34.95, JPA,BR
Augusto Severo Int'l,-5.9,-35.25, NAT,BR
Francisco Sa Carneiro,41.24,-8.67, OPO,PT
Marechal Cunha Machado Int'l,-2.58,-44.24, SLZ,BR
Teresina-Senador Petronio Portella,-5.06,-42.82, THE,BR
Viracopos-Campinas Int'l,-23.01,-47.14, VCP,BR
Alicante,38.29,-0.56, ALC,ES
Almeria,36.85,-2.37, LEI,ES
Valencia,39.49,-0.47, VLC,ES
Kiruna_Airport,67.83,20.34, KRN,SE
Norrköping Airport,58.58,16.23, NRK,SE
Husein Sastranegara Int'l,-6.9,107.58, BDO,ID
Rosario – Islas Malvinas Int'l,-32.92,-60.78, ROS,AR
Maceio/Zumbi dos Palmares Int'l,-9.51,-35.79, MCZ,BR
Sharm el-Sheikh Int'l,27.98,34.39, SSH,EG
Taba Int'l,29.59,34.78, TCP,EG
Agra,27.16,77.96, AGR,IN
Vadodara,22.34,73.23, BDQ,IN
Shahid Ashrafi Esfahani,34.35,47.16, KSH,IR
Benina Int'l,32.09,20.27, BEN,LY
King Abdulaziz AB,26.27,50.15, DHA,SA
Nueva Hespérides Int'l,-31.44,-57.98, STY,UY
Baikonur Cosmodrome,45.96,63.31, NULL,KZ
Kennedy Space Center,28.52,-80.64, NULL,US
Centre Spatial Guyanais,5.24,-52.77, NULL,GF
Queen Beatrix Int'l,12.5,-70.01, AUA,AW
Djibouti-Ambouli Int'l,11.55,43.15, JIB,DJ
Diego Aracena Int'l,-20.55,-70.18, IQQ,CL
Sabiha Gökçen Havaalani,40.9,29.31, SAW,TR
Kosrae Island,5.35,162.96, KSA,FM
Dr. Babasaheb Ambedkar Int'l,21.09,79.05, NAG,IN
Phuket Int'l,8.11,98.31, HKT,TH
Nadi Int'l,-17.75,177.45, NAN,FJ
Lic. Jesús Terán Peredo Int'l,21.7,-102.31, AGU,MX
Albenga,44.05,8.12, ALL,IT
Queen Alia Int'l,31.72,35.99, AMM,JO
Chacalluta Int'l,-18.35,-70.34, ARI,CL
Atar Int'l,20.5,-13.05, ATR,MR
Ernesto Cortissoz Int'l,10.89,-74.78, BAQ,CO
Teniente Luis Candelaria Int'l,-41.15,-71.16, BRC,AR
Bouaké,7.74,-5.07, BYK,CI
Philip S. W. Goldson Int'l,17.54,-88.31, BZE,BZ
Corpus Christi Int'l,27.77,-97.5, CRP,US
Hato Int'l,12.18,-68.96, CUR,AN
Velazco Astete Int'l,-13.54,-71.94, CUZ,PE
Julius Nyerere Int'l,-6.87,39.21, DAR,TZ
Detroit City,42.41,-83.0, DET,US
Moscow Domodedovo Int'l,55.41,37.9, DME,RU
Dunedin Int'l,-45.92,170.2, DUD,NZ
Dzaoudzi Pamanzi Int'l,-12.8,45.28, DZA,YT
El Paso Int'l,31.8,-106.4, ELP,US
Zvartnots Int'l,40.15,44.4, EVN,AM
Fort Worth Meacham Field,32.82,-97.36, FTW,US
JAGS McCartney Int'l,21.44,-71.15, GDT,TC
Scholes Int'l,29.27,-94.86, GLS,US
Goma Int'l,-1.66,29.24, GOM,CD
Garoua Int'l,9.33,13.37, GOU,CM
Antonio B. Won Pat Int'l,13.49,144.81, GUM,GU
Gary/Chicago Int'l,41.62,-87.41, GYY,US
Prince Said Ibrahim Int'l,-11.54,43.27, HAH,KM
Hobart Int'l,-42.84,147.51, HBA,AU
Kiev Zhuliany Int'l,50.41,30.45, IEV,UA
Irkutsk S.E.,52.27,104.36, IKT,RU
Indianapolis Int'l,39.73,-86.27, IND,US
Nauru Int'l,-0.55,166.92, INU,NR
Mataveri Int'l,-27.16,-109.43, IPC,CL
Gob. Horacio Guzman Int'l,-24.39,-65.09, JUJ,AR
Nanchang Changbei Int'l,28.86,115.91, KHN,CN
Kunming Wujiaba Int'l,25.0,102.74, KMG,CN
Leeds Bradford,53.87,-1.66, LBA,GB
Lomé Tokoin,6.17,1.25, LFW,TG
Lviv Danylo Halytskyi Int'l,49.82,23.95, LWO,UA
Aden Adde Int'l,2.02,45.3, MGQ,SO
Maputo Int'l,-25.92,32.57, MPM,MZ
Sir Seewoosagur Ramgoolam Int'l,-20.43,57.68, MRU,MU
Naples Int'l,40.88,14.28, NAP,IT
Nouadhibou Int'l,20.93,-17.03, NDB,MR
Ningbo Lishe Int'l,29.82,121.46, NGB,CN
Nouakchott Int'l,18.1,-15.95, NKC,MR
La Tontouta Int'l,-22.01,166.22, NOU,NC
Ontario Int'l,34.06,-117.59, ONT,US
Cork,51.85,-8.49, ORK,IE
Minangkabau Int'l,-0.79,100.29, PDG,ID
Bacha Khan Int'l,33.99,71.52, PEW,PK
Glasgow Prestwick,55.51,-4.61, PIK,GB
Ponta Porã Int'l,-22.55,-55.71, PMG,BR
Palmerston N. Int'l,-40.32,175.62, PMR,NZ
Tahiti Faa'a Int'l,-17.56,-149.61, PPT,PF
Pisa Galileo Galilei Int'l,43.7,10.4, PSA,IT
Port Sudan,19.58,37.22, PZU,SD
Praia Int'l,14.94,-23.49, RAI,CV
Marrakech-Menara,31.6,-8.02, RAK,MA
Rarotonga Int'l,-21.2,-159.8, RAR,CK
Siem Reap Int'l,13.41,103.82, REP,KH
Hermes Quijada Int'l,-53.78,-67.75, RGA,AR
Piloto Civil Norberto Fernandez Int'l,-51.61,-69.31, RGL,AR
Reno-Tahoe Int'l,39.51,-119.78, RNO,US
Roman Tmetuchl Int'l,7.36,134.53, ROR,PW
Sarajevo,43.83,18.34, SJJ,BA
Robert L. Bradshaw Int'l,17.31,-62.71, SKB,KN
Martín Miguel de Güemes Int,-24.84,-65.48, SLA,AR
Saipan Int'l,15.12,145.72, SPN,MP
Juana Azurduy de Padilla Int'l,-19.01,-65.29, SRE,BO
Ta'izz Int'l,13.69,44.13, TAI,YE
Qingdao Liuting Int'l,36.27,120.38, TAO,CN
Tangier Ibn Battouta,35.73,-5.91, TNG,MA
Astana Int'l,51.03,71.46, TSE,KZ
Tianjin Binhai Int'l,39.13,117.35, TSN,CN
Townsville,-19.26,146.77, TSV,AU
Teniente Gen. Benjamin Matienzo Int'l,-26.84,-65.11, TUC,AR
Aeroport Tunis,36.85,10.22, TUN,TN
Tucson Int'l,32.12,-110.94, TUS,US
Chinggis Khaan Int'l,47.85,106.76, ULN,MN
Ürümqi Diwopu Int'l,43.9,87.47, URC,CN
Bauerfield Int'l,-17.7,168.32, VLI,VU
Wewak Int'l,-3.58,143.67, WWK,PG
Châlons Vatry,48.78,4.19, XCR,FR
Xiamen Gaoqi Int'l,24.54,118.13, XMN,CN
Playa de Oro Int'l,19.15,-104.56, ZLO,MX
Cayenne – Rochambeau,4.82,-52.36, CAY,GF
Irkutsk N.W.,52.36,104.2, UIIR,RU
Shijiazhuang Zhengding Int'l,38.28,114.69, SJW,CN
Heydar Aliyev Int'l,40.46,50.05, GYD,AZ
Lakatamia Airbase,35.11,33.32, LAK,CY
Cabo Frio Int'l,-22.93,-42.08, CFB,BR
Helsinki-Malmi,60.25,25.05, HEM,FI
Luxembourg-Findel,49.63,6.22, LUX,LU
Yangyang Int'l,38.06,128.66, YNY,KR
Tabatinga Int'l,-4.25,-69.94, TBT,BR
Boa Vista Int'l,2.84,-60.69, BVB,BR
Gran Canaria,27.94,-15.39, LPA,ES
Com. Armando Tola Int'l,-50.28,-72.05, ING,AR
Stockholm-Skavsta,58.79,16.92, NYO,SE
Polonia Int'l,3.57,98.68, MES,ID
Bangui M'Poko Int'l,4.4,18.52, BGF,CF
Hangzhou Xiaoshan Int'l,30.24,120.43, HGH,CN
Šiauliai Int'l,55.9,23.38, SQQ,LT
Niue Int'l,-19.08,-169.93, IUE,NU
Guaraní Int'l,-25.46,-54.84, AGT,PY
Rodríguez Ballón Int'l,-16.34,-71.57, AQP,PE
Vladivostok Int'l,43.38,132.14, VVO,RU
Pristina,42.59,21.03, PRN,RS
Deurne,51.19,4.45, ANR,BE
Gen. Márquez de León Int'l,24.08,-110.37, LAP,MX
Harbin Taiping,45.62,126.24, HRB,CN
Trivandrum Int'l,8.48,76.92, TRV,IN
Adnan Menderes,38.29,27.15, ADB,TR
Nanjing Lukou Int'l,31.74,118.87, NKG,CN
Freeport Int'l,26.55,-78.7, FPO,BS
Tripoli Int'l,32.67,13.14, TIP,LY
Gander Int'l,48.95,-54.58, YQX,CA
Doha Int'l,25.27,51.56, DOH,QA
Albuquerque Int'l,35.05,-106.62, ABQ,US
V.C. Bird Int'l,17.14,-61.79, ANU,AG
Asyut,27.05,31.02, ATZ,EG
Bahrain Int'l,26.27,50.63, BAH,BH
Bradley Int'l,41.93,-72.69, BDL,US
Grantley Adams Int'l,13.08,-59.49, BGI,BB
Yundum Int'l,13.34,-16.65, BJL,GM
Bujumbura Int'l,-3.32,29.32, BJM,BI
Chileka Int'l,-15.68,34.97, BLZ,MW
Bandar Abbass Int'l,27.21,56.37, BND,IR
Basrah Int'l,30.55,47.67, BSR,IQ
Ciudad Juarez Int'l,31.64,-106.44, CJS,MX
Katunayake Int'l,7.18,79.89, CMB,LK
Cairns Int'l,-16.88,145.75, CNS,AU
